supplier,total_spend,purchase_orders,on_time_delivery_pct,avg_days_late,avg_quality_score,expedited_pos,supplier_score,priority_action
Summit Freight Partners,3504874.32,71,80.28,2.1,89.49,12,82.1,Develop / mitigate risk
WestBridge Logistics,3069735.05,66,90.91,0.27,93.02,2,92.9,Maintain / grow relationship
NovaChem Solutions,1411139.63,58,94.83,0.48,92.1,8,92.0,Maintain / grow relationship
Apex BioMaterials,1191764.64,56,96.43,0.07,93.88,2,95.8,Maintain / grow relationship
Pacific Industrial Co.,885309.58,58,79.31,1.79,90.6,9,82.6,Develop / mitigate risk
Vertex MRO Services,838308.46,55,89.09,0.22,94.37,3,92.0,Develop / mitigate risk
Optima Business Systems,434992.63,73,95.89,0.1,94.92,4,95.4,Maintain / grow relationship
Harbor Office & Tech,425904.66,64,84.38,0.72,92.97,13,85.9,Develop / mitigate risk
Precision Lab Supply,414225.89,60,93.33,0.22,95.08,3,94.3,Maintain / grow relationship
Sterling Scientific,375024.66,45,82.22,1.58,91.84,7,84.5,Develop / mitigate risk
PrimePack Industries,203914.31,56,96.43,0.05,94.99,3,95.8,Maintain / grow relationship
ClearView Packaging,193435.32,58,89.66,0.26,93.35,3,92.0,Develop / mitigate risk
